sample_id,modality,question_type,correct_answer,clean_prediction,image
mod-mri:000000,MRI,Modality Recognition,B,B,images/mod-mri_000000.png
mod-mri:000001,MRI,Modality Recognition,B,B,images/mod-mri_000001.png
mod-mri:000002,MRI,Disease Diagnosis,D,D,images/mod-mri_000002.png
mod-mri:000003,MRI,Modality Recognition,D,D,images/mod-mri_000003.png
mod-mri:000004,MRI,Modality Recognition,A,A,images/mod-mri_000004.png
mod-mri:000005,MRI,Modality Recognition,A,A,images/mod-mri_000005.png
mod-mri:000006,MRI,Modality Recognition,D,D,images/mod-mri_000006.png
mod-mri:000007,MRI,Modality Recognition,B,B,images/mod-mri_000007.png
mod-mri:000008,MRI,Modality Recognition,D,D,images/mod-mri_000008.png
mod-mri:000009,MRI,Modality Recognition,B,B,images/mod-mri_000009.png
mod-mri:000010,MRI,Modality Recognition,A,A,images/mod-mri_000010.png
mod-mri:000011,MRI,Modality Recognition,C,C,images/mod-mri_000011.png
mod-mri:000012,MRI,Modality Recognition,C,C,images/mod-mri_000012.png
mod-mri:000013,MRI,Modality Recognition,A,A,images/mod-mri_000013.png
mod-mri:000014,MRI,Modality Recognition,A,A,images/mod-mri_000014.png
mod-mri:000015,MRI,Modality Recognition,B,B,images/mod-mri_000015.png
mod-mri:000016,MRI,Modality Recognition,C,C,images/mod-mri_000016.png
mod-mri:000017,MRI,Modality Recognition,B,B,images/mod-mri_000017.png
mod-mri:000018,MRI,Modality Recognition,C,C,images/mod-mri_000018.png
mod-mri:000019,MRI,Modality Recognition,D,D,images/mod-mri_000019.png
mod-mri:000020,MRI,Disease Diagnosis,C,C,images/mod-mri_000020.png
mod-mri:000021,MRI,Modality Recognition,C,C,images/mod-mri_000021.png
mod-mri:000022,MRI,Modality Recognition,A,A,images/mod-mri_000022.png
mod-mri:000023,MRI,Disease Diagnosis,B,B,images/mod-mri_000023.png
mod-mri:000024,MRI,Modality Recognition,C,C,images/mod-mri_000024.png
mod-mri:000025,MRI,Modality Recognition,D,D,images/mod-mri_000025.png
mod-mri:000026,MRI,Modality Recognition,C,C,images/mod-mri_000026.png
mod-mri:000027,MRI,Modality Recognition,C,C,images/mod-mri_000027.png
mod-mri:000028,MRI,Modality Recognition,D,D,images/mod-mri_000028.png
mod-mri:000029,MRI,Modality Recognition,C,C,images/mod-mri_000029.png
mod-mri:000030,MRI,Modality Recognition,B,B,images/mod-mri_000030.png
mod-mri:000031,MRI,Disease Diagnosis,D,D,images/mod-mri_000031.png
mod-mri:000032,MRI,Modality Recognition,A,A,images/mod-mri_000032.png
mod-mri:000033,MRI,Modality Recognition,D,D,images/mod-mri_000033.png
mod-mri:000034,MRI,Modality Recognition,D,D,images/mod-mri_000034.png
mod-mri:000035,MRI,Modality Recognition,B,B,images/mod-mri_000035.png
mod-mri:000036,MRI,Modality Recognition,C,C,images/mod-mri_000036.png
mod-mri:000037,MRI,Disease Diagnosis,D,D,images/mod-mri_000037.png
mod-mri:000038,MRI,Disease Diagnosis,A,A,images/mod-mri_000038.png
mod-mri:000039,MRI,Modality Recognition,B,B,images/mod-mri_000039.png
mod-mri:000040,MRI,Modality Recognition,B,B,images/mod-mri_000040.png
mod-mri:000041,MRI,Modality Recognition,B,B,images/mod-mri_000041.png
mod-mri:000042,MRI,Modality Recognition,D,D,images/mod-mri_000042.png
mod-mri:000043,MRI,Disease Diagnosis,C,C,images/mod-mri_000043.png
mod-mri:000044,MRI,Modality Recognition,B,B,images/mod-mri_000044.png
mod-mri:000045,MRI,Disease Diagnosis,A,A,images/mod-mri_000045.png
mod-mri:000046,MRI,Disease Diagnosis,C,C,images/mod-mri_000046.png
mod-mri:000047,MRI,Modality Recognition,C,C,images/mod-mri_000047.png
mod-mri:000048,MRI,Modality Recognition,C,C,images/mod-mri_000048.png
mod-mri:000049,MRI,Modality Recognition,A,A,images/mod-mri_000049.png
mod-mri:000050,MRI,Modality Recognition,B,B,images/mod-mri_000050.png
mod-mri:000051,MRI,Modality Recognition,B,B,images/mod-mri_000051.png
mod-mri:000052,MRI,Modality Recognition,A,A,images/mod-mri_000052.png
mod-mri:000053,MRI,Modality Recognition,C,C,images/mod-mri_000053.png
mod-mri:000054,MRI,Disease Diagnosis,D,D,images/mod-mri_000054.png
mod-mri:000055,MRI,Modality Recognition,C,C,images/mod-mri_000055.png
mod-mri:000056,MRI,Modality Recognition,C,C,images/mod-mri_000056.png
mod-mri:000057,MRI,Modality Recognition,D,D,images/mod-mri_000057.png
mod-mri:000058,MRI,Modality Recognition,B,B,images/mod-mri_000058.png
mod-mri:000059,MRI,Modality Recognition,D,D,images/mod-mri_000059.png
mod-mri:000060,MRI,Modality Recognition,B,B,images/mod-mri_000060.png
mod-mri:000061,MRI,Modality Recognition,A,A,images/mod-mri_000061.png
mod-mri:000062,MRI,Modality Recognition,A,A,images/mod-mri_000062.png
mod-mri:000063,MRI,Disease Diagnosis,A,A,images/mod-mri_000063.png
mod-mri:000064,MRI,Modality Recognition,A,A,images/mod-mri_000064.png
mod-mri:000065,MRI,Modality Recognition,B,B,images/mod-mri_000065.png
mod-mri:000066,MRI,Modality Recognition,A,A,images/mod-mri_000066.png
mod-mri:000067,MRI,Modality Recognition,D,D,images/mod-mri_000067.png
mod-mri:000068,MRI,Modality Recognition,B,B,images/mod-mri_000068.png
mod-mri:000069,MRI,Modality Recognition,B,B,images/mod-mri_000069.png
mod-mri:000070,MRI,Modality Recognition,A,A,images/mod-mri_000070.png
mod-mri:000071,MRI,Modality Recognition,A,A,images/mod-mri_000071.png
mod-mri:000072,MRI,Modality Recognition,D,D,images/mod-mri_000072.png
mod-mri:000073,MRI,Modality Recognition,C,C,images/mod-mri_000073.png
mod-mri:000074,MRI,Modality Recognition,A,A,images/mod-mri_000074.png
mod-mri:000075,MRI,Modality Recognition,A,A,images/mod-mri_000075.png
mod-mri:000076,MRI,Modality Recognition,B,B,images/mod-mri_000076.png
mod-mri:000077,MRI,Modality Recognition,A,A,images/mod-mri_000077.png
mod-mri:000078,MRI,Modality Recognition,A,A,images/mod-mri_000078.png
mod-mri:000079,MRI,Disease Diagnosis,C,C,images/mod-mri_000079.png
mod-mri:000080,MRI,Modality Recognition,D,D,images/mod-mri_000080.png
mod-mri:000081,MRI,Modality Recognition,A,A,images/mod-mri_000081.png
mod-mri:000082,MRI,Modality Recognition,B,B,images/mod-mri_000082.png
mod-mri:000083,MRI,Modality Recognition,A,A,images/mod-mri_000083.png
mod-mri:000084,MRI,Modality Recognition,D,D,images/mod-mri_000084.png
mod-mri:000085,MRI,Modality Recognition,A,A,images/mod-mri_000085.png
mod-mri:000086,MRI,Disease Diagnosis,B,B,images/mod-mri_000086.png
mod-mri:000087,MRI,Modality Recognition,B,B,images/mod-mri_000087.png
mod-mri:000088,MRI,Modality Recognition,B,B,images/mod-mri_000088.png
mod-mri:000089,MRI,Modality Recognition,D,D,images/mod-mri_000089.png
mod-mri:000090,MRI,Modality Recognition,D,D,images/mod-mri_000090.png
mod-mri:000091,MRI,Disease Diagnosis,A,A,images/mod-mri_000091.png
mod-mri:000092,MRI,Modality Recognition,D,D,images/mod-mri_000092.png
mod-mri:000093,MRI,Disease Diagnosis,A,A,images/mod-mri_000093.png
