sample_id,modality,question_type,correct_answer,clean_prediction,image
mod-ct:000000,CT,Other Biological Attributes,C,C,images/mod-ct_000000.png
mod-ct:000002,CT,Disease Diagnosis,A,A,images/mod-ct_000002.png
mod-ct:000003,CT,Lesion Grading,C,C,images/mod-ct_000003.png
mod-ct:000007,CT,Other Biological Attributes,D,D,images/mod-ct_000007.png
mod-ct:000008,CT,Lesion Grading,C,C,images/mod-ct_000008.png
mod-ct:000009,CT,Lesion Grading,D,D,images/mod-ct_000009.png
mod-ct:000019,CT,Other Biological Attributes,D,D,images/mod-ct_000019.png
mod-ct:000022,CT,Other Biological Attributes,A,A,images/mod-ct_000022.png
mod-ct:000028,CT,Other Biological Attributes,C,C,images/mod-ct_000028.png
mod-ct:000029,CT,Other Biological Attributes,B,B,images/mod-ct_000029.png
mod-mri:000000,MRI,Modality Recognition,B,B,images/mod-mri_000000.png
mod-mri:000001,MRI,Modality Recognition,B,B,images/mod-mri_000001.png
mod-mri:000002,MRI,Disease Diagnosis,D,D,images/mod-mri_000002.png
mod-mri:000003,MRI,Modality Recognition,D,D,images/mod-mri_000003.png
mod-mri:000004,MRI,Modality Recognition,A,A,images/mod-mri_000004.png
mod-mri:000005,MRI,Modality Recognition,A,A,images/mod-mri_000005.png
mod-mri:000006,MRI,Modality Recognition,D,D,images/mod-mri_000006.png
mod-mri:000007,MRI,Modality Recognition,B,B,images/mod-mri_000007.png
mod-mri:000008,MRI,Modality Recognition,D,D,images/mod-mri_000008.png
mod-mri:000009,MRI,Modality Recognition,B,B,images/mod-mri_000009.png
mod-us:000000,Ultrasound,Modality Recognition,A,A,images/mod-us_000000.png
mod-us:000001,Ultrasound,Modality Recognition,B,B,images/mod-us_000001.png
mod-us:000002,Ultrasound,Modality Recognition,D,D,images/mod-us_000002.png
mod-us:000003,Ultrasound,Modality Recognition,D,D,images/mod-us_000003.png
mod-us:000004,Ultrasound,Modality Recognition,D,D,images/mod-us_000004.png
mod-us:000005,Ultrasound,Modality Recognition,D,D,images/mod-us_000005.png
mod-us:000006,Ultrasound,Anatomy Identification,A,A,images/mod-us_000006.png
mod-us:000007,Ultrasound,Modality Recognition,D,D,images/mod-us_000007.png
mod-us:000008,Ultrasound,Modality Recognition,C,C,images/mod-us_000008.png
mod-us:000009,Ultrasound,Modality Recognition,C,C,images/mod-us_000009.png
